pid,priority,n_run,running_time,ticks
6, 4, 24, 340, 1044
5, 4, 24, 2, 1045
3, 4, 32, 361, 1061
4, 4, 25, 0, 1062
6, 4, 25, 357, 1078
5, 4, 25, 2, 1079
3, 4, 33, 378, 1095
4, 4, 26, 0, 1096
6, 4, 26, 374, 1112
5, 4, 26, 2, 1113
3, 4, 34, 395, 1129
4, 4, 27, 0, 1130
6, 4, 27, 391, 1146
5, 4, 27, 2, 1147
3, 4, 35, 412, 1163
4, 4, 28, 0, 1164
6, 4, 28, 408, 1180
5, 4, 28, 2, 1181
3, 4, 36, 429, 1197
4, 4, 29, 0, 1198
6, 4, 29, 425, 1214
5, 4, 29, 2, 1215
3, 4, 37, 446, 1231
4, 4, 30, 0, 1232
6, 4, 30, 442, 1248
5, 4, 30, 2, 1249
3, 4, 38, 463, 1265
4, 4, 31, 0, 1266
6, 4, 31, 459, 1282
5, 4, 31, 2, 1283
3, 4, 39, 480, 1299
4, 4, 32, 0, 1300
6, 4, 32, 476, 1316
5, 4, 32, 2, 1317
3, 4, 40, 497, 1333
4, 4, 33, 0, 1334
6, 4, 33, 493, 1350
5, 4, 33, 2, 1351
3, 4, 41, 514, 1367
4, 4, 34, 0, 1368
6, 4, 34, 510, 1384
5, 4, 34, 2, 1385
3, 4, 42, 531, 1401
4, 4, 35, 0, 1402
6, 4, 35, 527, 1418
5, 4, 35, 2, 1419
3, 4, 43, 548, 1435
4, 4, 36, 0, 1436
6, 4, 36, 544, 1452
5, 4, 36, 2, 1453
3, 4, 44, 565, 1469
4, 4, 37, 0, 1470
6, 4, 37, 561, 1486
5, 4, 37, 2, 1487
3, 4, 45, 582, 1503
4, 4, 38, 0, 1504
6, 4, 38, 578, 1520
5, 4, 38, 2, 1521
3, 4, 46, 599, 1537
4, 4, 39, 0, 1538
6, 4, 39, 595, 1554
5, 4, 39, 2, 1555
3, 4, 47, 616, 1571
4, 4, 40, 0, 1572
6, 4, 40, 612, 1588
5, 4, 40, 2, 1589
3, 4, 48, 633, 1605
4, 4, 41, 0, 1606
6, 4, 41, 629, 1622
5, 4, 41, 2, 1623
3, 4, 49, 650, 1639
4, 4, 42, 0, 1640
6, 4, 42, 646, 1656
5, 4, 42, 2, 1657
3, 4, 50, 667, 1673
4, 4, 43, 0, 1674
6, 4, 43, 663, 1690
5, 4, 43, 2, 1691
3, 4, 51, 684, 1707
4, 4, 44, 0, 1708
6, 4, 44, 680, 1724
5, 4, 44, 2, 1725
3, 4, 52, 701, 1741
4, 4, 45, 0, 1742
6, 4, 45, 697, 1758
5, 4, 45, 2, 1759
3, 4, 53, 718, 1775
4, 4, 46, 0, 1776
6, 4, 46, 714, 1792
5, 4, 46, 2, 1793
3, 4, 54, 735, 1809
4, 4, 47, 0, 1810
6, 4, 47, 731, 1826
5, 4, 47, 2, 1827
3, 4, 55, 752, 1843
4, 4, 48, 0, 1844
6, 4, 48, 748, 1860
5, 4, 48, 2, 1861
3, 4, 56, 769, 1877
4, 4, 49, 0, 1878
6, 4, 49, 765, 1894
5, 4, 49, 2, 1895
3, 4, 57, 786, 1911
4, 4, 50, 0, 1912
6, 4, 50, 782, 1928
5, 4, 50, 2, 1929
3, 4, 58, 803, 1945
4, 4, 51, 0, 1946
6, 4, 51, 799, 1962
5, 4, 51, 2, 1963
3, 4, 59, 820, 1979
4, 4, 52, 0, 1980
6, 4, 52, 816, 1996
5, 4, 52, 2, 1997
3, 4, 60, 837, 2013
4, 4, 53, 0, 2014
6, 4, 53, 833, 2030
5, 4, 53, 2, 2031
3, 4, 61, 854, 2047
4, 4, 54, 0, 2048
6, 4, 54, 850, 2064
5, 4, 54, 2, 2065
6, 4, 55, 854, 2082
4, 4, 55, 0, 2085
5, 4, 55, 2, 2099
3, 4, 63, 888, 2102
6, 4, 56, 854, 2116
4, 4, 56, 17, 2119
5, 4, 56, 2, 2133
3, 4, 64, 905, 2136
6, 4, 57, 854, 2150
4, 4, 57, 34, 2153
5, 4, 57, 2, 2167
3, 4, 65, 922, 2170
6, 4, 58, 854, 2184
4, 4, 58, 51, 2187
5, 4, 58, 2, 2201
3, 4, 66, 939, 2204
6, 4, 59, 854, 2218
4, 4, 59, 68, 2221
5, 4, 59, 2, 2235
3, 4, 67, 956, 2238
6, 4, 60, 854, 2252
4, 4, 60, 85, 2255
5, 4, 60, 2, 2269
3, 4, 68, 973, 2272
6, 4, 61, 854, 2286
4, 4, 61, 102, 2289
5, 4, 61, 2, 2303
3, 4, 69, 990, 2306
6, 4, 62, 854, 2320
4, 4, 62, 119, 2323
5, 4, 62, 2, 2337
3, 4, 70, 1007, 2340
6, 4, 63, 854, 2354
4, 4, 63, 136, 2357
5, 4, 63, 2, 2371
3, 4, 71, 1024, 2374
6, 4, 64, 854, 2388
4, 4, 64, 153, 2391
5, 4, 64, 2, 2405
3, 4, 72, 1041, 2408
6, 4, 65, 854, 2422
4, 4, 65, 170, 2425
5, 4, 65, 2, 2439
3, 4, 73, 1058, 2442
6, 4, 66, 854, 2456
4, 4, 66, 187, 2459
5, 4, 66, 2, 2473
3, 4, 74, 1075, 2476
6, 4, 67, 854, 2490
4, 4, 67, 204, 2493
5, 4, 67, 2, 2507
3, 4, 75, 1092, 2510
6, 4, 68, 854, 2524
4, 4, 68, 221, 2527
5, 4, 68, 2, 2541
3, 4, 76, 1109, 2544
6, 4, 69, 854, 2558
4, 4, 69, 238, 2561
5, 4, 69, 2, 2575
3, 4, 77, 1126, 2578
6, 4, 70, 854, 2592
4, 4, 70, 255, 2595
5, 4, 70, 2, 2609
3, 4, 78, 1143, 2612
6, 4, 71, 854, 2626
4, 4, 71, 272, 2629
5, 4, 71, 2, 2643
3, 4, 79, 1160, 2646
6, 4, 72, 854, 2660
4, 4, 72, 289, 2663
5, 4, 72, 2, 2677
3, 4, 80, 1177, 2680
6, 4, 73, 854, 2694
4, 4, 73, 306, 2697
5, 4, 73, 2, 2711
3, 4, 81, 1194, 2714
6, 4, 74, 854, 2728
4, 4, 74, 323, 2731
5, 4, 74, 2, 2745
3, 4, 82, 1211, 2748
6, 4, 75, 854, 2762
4, 4, 75, 340, 2765
5, 4, 75, 2, 2779
3, 4, 83, 1228, 2782
6, 4, 76, 854, 2796
4, 4, 76, 357, 2799
5, 4, 76, 2, 2813
3, 4, 84, 1245, 2816
6, 4, 77, 854, 2830
4, 4, 77, 374, 2833
5, 4, 77, 2, 2847
3, 4, 85, 1262, 2850
6, 4, 78, 854, 2864
4, 4, 78, 391, 2867
5, 4, 78, 2, 2881
3, 4, 86, 1279, 2884
6, 4, 79, 854, 2898
4, 4, 79, 408, 2901
5, 4, 79, 2, 2915
3, 4, 87, 1296, 2918
6, 4, 80, 854, 2932
4, 4, 80, 425, 2935
5, 4, 80, 2, 2949
3, 4, 88, 1313, 2952
6, 4, 81, 854, 2966
4, 4, 81, 442, 2969
5, 4, 81, 2, 2983
3, 4, 89, 1330, 2986
6, 4, 82, 854, 3000
4, 4, 82, 459, 3003
5, 4, 82, 2, 3017
3, 4, 90, 1347, 3020
6, 4, 83, 854, 3034
4, 4, 83, 476, 3037
5, 4, 83, 2, 3051
3, 4, 91, 1364, 3054
6, 4, 84, 854, 3068
4, 4, 84, 493, 3071
5, 4, 84, 2, 3085
3, 4, 92, 1381, 3088
6, 4, 85, 854, 3102
4, 4, 85, 510, 3105
5, 4, 85, 2, 3119
3, 4, 93, 1398, 3122
6, 4, 86, 854, 3136
4, 4, 86, 527, 3139
5, 4, 86, 2, 3153
3, 4, 94, 1415, 3156
6, 4, 87, 854, 3170
4, 4, 87, 544, 3173
5, 4, 87, 2, 3187
3, 4, 95, 1432, 3190
6, 4, 88, 854, 3204
4, 4, 88, 561, 3207
5, 4, 88, 2, 3221
3, 4, 96, 1449, 3224
6, 4, 89, 854, 3238
4, 4, 89, 578, 3241
5, 4, 89, 2, 3255
3, 4, 97, 1466, 3258
6, 4, 90, 854, 3272
4, 4, 90, 595, 3275
5, 4, 90, 2, 3289
3, 4, 98, 1483, 3292
6, 4, 91, 854, 3306
4, 4, 91, 612, 3309
5, 4, 91, 2, 3323
3, 4, 99, 1500, 3326
6, 4, 92, 854, 3340
4, 4, 92, 629, 3343
5, 4, 92, 2, 3357
3, 4, 100, 1517, 3360
6, 4, 93, 854, 3374
4, 4, 93, 646, 3377
5, 4, 93, 2, 3391
3, 4, 101, 1534, 3394
6, 4, 94, 854, 3408
4, 4, 94, 663, 3411
5, 4, 94, 2, 3425
3, 4, 102, 1551, 3428
6, 4, 95, 854, 3442
4, 4, 95, 680, 3445
5, 4, 95, 2, 3459
3, 4, 103, 1568, 3462
6, 4, 96, 854, 3476
4, 4, 96, 697, 3479
5, 4, 96, 2, 3493
3, 4, 104, 1585, 3496
6, 4, 97, 854, 3510
4, 4, 97, 714, 3513
5, 4, 97, 2, 3527
